X,Y,objectid,id,pavadinimas,gatve,kryptis,atsakingas,savivaldybe,peronas,paviljonas,paviljono_piklausomybe,paviljono_tipas,suolas,siuksliu_deze,svieslente,transporto_balsas,GlobalID
587409.0,6056177.0001,615,4352,Vladislavo Sirokomlės st.,V.Sirokomlės g.,į miestą,LAKD,Vilniaus rajono,yra,yra,Vilniaus r. savivaldybė,Standartinis,nėra,yra,nėra,,b919c698-1fd6-4a4f-807f-5fc54812c56b
586010.7867,6072007.9051,616,2212,Verkių Riešė,Žaliųjų ežerų g.,į centrą,SĮSP,Vilniaus miesto,yra,yra,SĮSP,Standartinis,yra,yra,nėra,nėra,a0c777c3-fbe3-4548-ab6f-4d4211426752
586746.0,6056065.0001,617,4351,Baltarusių st.,Baltarusių g.,į miestą,LAKD,Vilniaus rajono,yra,yra,Vilniaus r. savivaldybė,"Nestandartinis (fanerInis, kombinuotas, kt)",nėra,reikia perkelti,nėra,nėra,d4d6226f-26d0-44b7-a546-a12de83c6d14
568656.4437,6056947.397,618,3907,1-asis Lentvaris,Vilniaus g. (Lentvaris),į miestą,TRAKŲ R. SAVIVALDYBĖ,Trakų rajono,yra,yra,Trakų r. savivaldybė,Stiklinis,nėra,nėra,nėra,nėra,c0b03834-2d57-4809-94dc-2be15741f446
587927.625,6071095.5001,619,2218,Ožkinių žiedas,Ožkinių g.,į centrą,SĮSP,Vilniaus miesto,yra,yra,SĮSP,"Nestandartinis (fanerInis, kombinuotas, kt)",nėra,yra,nėra,nėra,b9e887ac-9b56-4382-942e-3e5b862fe745
586328.5992,6072382.9634,620,2219,Ragučio st.,Žaliųjų ežerų g.,į centrą,SĮSP,Vilniaus miesto,yra,yra,SĮSP,Siauro tipo,yra,yra,nėra,nėra,db6eff52-097c-4f29-b05c-b3d2dca3b8fe
586690.400576949,6073046.25879024,621,2222,Balsiai,Žaliųjų ežerų g.,iš centro ,SĮSP,Vilniaus miesto,yra,yra,SĮSP,Siauro tipo,nėra,yra,nėra,nėra,87a330e4-36e9-45f2-be02-4b1129a43fcf
586693.00679407,6074775.69901712,622,2226,Naujaneriai,Žaliųjų ežerų g.,iš miesto,SĮSP,Vilniaus miesto,yra,yra,SĮSP,Siauro tipo,nėra,yra,nėra,nėra,91bde192-0136-44b0-b842-cb2ec4e2c6e9
591298.1042,6064580.0984,623,2336,Šiaurės st.,Šiaurės g.,iš N.Vilnios,SĮSP,Vilniaus miesto,yra,yra,SĮSP,Siauro tipo,nėra,reikia perkelti,nėra,nėra,616507a6-92fc-471f-a891-4036c2eb8f91
586869.1354,6059558.4126,624,1404,Pavilnio sodai,Tolimoji g.,iš stoties,SĮSP,Vilniaus miesto,reikalingas remontas,nėra, , ,yra,yra,nėra,nėra,512679fe-8221-4d9e-b054-973cf6f79afe
585658.6458,6055843.5876,625,4353,Sodybų st.,Ilgoji g.,į miestą,VILNIAUS R. SAVIVALDYBĖ,Vilniaus rajono,nėra,yra,Vilniaus r. savivaldybė,"Nestandartinis (fanerInis, kombinuotas, kt)",nėra,reikia perkelti (seno tipo),nėra,nėra,ba11a6ca-e381-4059-9c18-cf58ab446f2c
584139.2458,6056288.9234,626,4005,Miško parkas,Liepkalnio g.,į stotį,SĮSP,Vilniaus miesto,yra,yra,SĮSP,Standartinis,nėra,reikia perkelti,nėra,nėra,193d78f6-9aec-49f6-aedb-0795ae33d0b0
586895.9683,6073653.5768,627,2236,Kryžiokai,Žaliųjų ežerų g.,į miestą,SĮSP,Vilniaus miesto,yra,yra,SĮSP,Siauro tipo,yra,yra,nėra,nėra,f5d63049-2896-4bc8-9e69-159365659cee
576065.5,6056441.5001,628,2904,Lentvario,Galvės g.,link Savanorių pr.,SĮSP,Vilniaus miesto,yra,yra,SĮSP,"Nestandartinis (fanerInis, kombinuotas, kt)",yra,reikia perkelti (seno tipo),nėra,nėra,625b88b8-0d81-450c-a27d-8e51ca2f757f
586806.905,6074136.8284,629,2238,Krakiškės,Žaliųjų ežerų g.,iš centro,SĮSP,Vilniaus miesto,yra,yra,SĮSP,Siauro tipo,nėra,nėra,nėra,nėra,493cdf49-6f09-408b-93e9-fb0eeacedb7f
580962.97,6056099.5584,630,2630,Dilgynė,Eišiškių plentas,iš miesto,SĮSP,Vilniaus miesto,yra,yra,SĮSP,Standartinis,nėra,yra,nėra,nėra,67ab206e-342b-4e54-86c8-af0a0924541e
585697.3698,6056469.7939,631,4355,Vyturių st.,Ilgoji g.,į miestą,VILNIAUS R. SAVIVALDYBĖ,Vilniaus rajono,nėra,yra,Vilniaus r. savivaldybė,"Nestandartinis (fanerInis, kombinuotas, kt)",nėra,reikia perkelti (seno tipo),nėra,nėra,f505a3bf-0820-4dc3-9b2c-b816b7a958e0
584295.2567,6055082.1351,632,2636,Lydos st.,Liepkalnio g.,iš miesto,SĮSP,Vilniaus miesto,yra,yra,SĮSP,Standartinis,nėra,yra,nėra,nėra,9cdde3c7-fe24-4969-ba9e-cf354c456e86
590366.0633,6063455.0476,633,2326,Uosių st.,Šiaurės g.,link Antakalnio,SĮSP,Vilniaus miesto,nėra,nėra, , ,yra,nėra,nėra,nėra,2d043783-f8fd-4e0e-b2b8-08fdd145447e
589024.895,6063132.5401,634,2318,Užtvankos st.,Alberto Kojelavičiaus g.,į miestą,SĮSP,Vilniaus miesto,reikalingas remontas,nėra, , ,yra,yra (seno tipo),nėra,nėra,d8907896-9184-4e8f-8793-4236fe36db41
581002.375,6062363.5001,635,0305,Vytauto st.,Vytauto g.,nuo Liubarto g.,SĮSP,Vilniaus miesto,yra,yra,JCDecaux, ,nėra,yra,nėra,yra - veikia,1fec8173-5931-41c5-be1d-0de56a56f348
573275.1896,6056551.7355,636,2919,Liudvinavo,Žarijų g.,link Galvės g.,SĮSP,Vilniaus miesto,yra,yra,SĮSP,Standartinis,nėra,yra,nėra,nėra,2a5f1bc3-b19f-47bd-b93e-0fad8d1d4e01
585867.5,6062205.0001,637,1215,Šaudykla,S.Batoro g.,iš centro,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,Standartinis,nėra,yra,nėra,nėra,65ffe601-a8ea-4e96-bef6-8fcd4f132f08
586404.845,6057248.3834,638,4301,Minsko plentas,Minsko pl.,iš stoties,VILNIAUS R. SAVIVALDYBĖ,Vilniaus rajono,yra,nėra, , ,yra,nėra,nėra,nėra,07238f57-b7d4-4e96-ba89-62c4d0eae78b
581418.3933,6073621.0701,639,5129,Lauko st.,Molėtų g.,iš Riešės,VILNIAUS R. SAVIVALDYBĖ,Vilniaus rajono,yra,nėra, , ,yra,nėra,nėra,nėra,a2cf799c-9698-4c64-9f84-371a5752e7f3
590850.56,6067218.4199,640,1017,Paliuliškės,Kairėnų g.,į N.Vilnios,SĮSP,Vilniaus miesto,yra,yra,SĮSP,Siauro tipo,nėra,reikia perkelti,nėra,nėra,a56878a6-c476-4a53-8d28-569fd1033538
590959.5025,6066848.6683,641,1018,Lubinų st.,Kairėnų g.,iš N.Vilnios,SĮSP,Vilniaus miesto,yra,yra,SĮSP,Standartinis,nėra,reikia perkelti,nėra,nėra,6b456031-06e5-4f1b-a1b5-f786db8f92b3
587472.482702942,6072444.73234245,642,2259,Balsių mokykla,Bubilo g.,iš miesto,SĮSP,Vilniaus miesto,yra,yra,SĮSP,"Nestandartinis (fanerInis, kombinuotas, kt)",nėra,yra,nėra,nėra,9efb573d-205b-41cb-9566-d3dc9225ea44
581317.375,6055654.5001,643,2639,Meistrų st.,Meistrų g.,link Eišiškių pl.,SĮSP,Vilniaus miesto,reikalingas remontas,nėra,,,yra,yra,nėra,nėra,caa37f74-435e-4b46-96be-c2ccdbf3208c
576521.4375,6065950.0001,644,4404,Sodų st.,Buivydiškių g.,iš miesto,LAKD,Vilniaus rajono,yra,yra,LAKD,"Nestandartinis (fanerInis, kombinuotas, kt)",yra,yra (seno tipo),nėra,dingęs,1b197c81-b184-457b-9c5b-475e1765050f
590400.3481,6067580.904,645,1015,Kairėnai,Plytinės g.,į N.Vilnia,SĮSP,Vilniaus miesto,yra,yra,SĮSP,Standartinis,nėra,yra,nėra,nėra,6db82324-7720-4352-a2e5-1bee51af410a
590959.267,6066345.8105,646,1025,Purienų st.,Kairėnų g.,link Naujosios Vilnios,SĮSP,Vilniaus miesto,yra,yra,SĮSP,Standartinis,nėra,reikia perkelti,nėra,nėra,57625d5d-670c-4fb5-95fd-eb211a3e2b18
591236.5625,6068786.0001,647,3532,Vaguva,Šilėnų g.,į Šilėnus,SĮSP,Vilniaus miesto,yra,nėra,,,yra,yra,nėra,nėra,b6d99607-9691-4b94-be76-7a95c32d3a5b
581778.625,6056533.5001,648,2617,Geologų st.,Metalo g.,link Motorų g.,SĮSP,Vilniaus miesto,yra,yra,SĮSP,Siauro tipo,nėra,yra,nėra,nėra,07aa80eb-2245-412d-b647-837e4179eddc
586920.5708,6057044.4601,649,4302,Sodai,Minsko pl.,iš stoties,LAKD,Vilniaus rajono,yra,nėra, , ,yra,nėra,nėra,nėra,b2895b76-8ed9-4092-9071-5fddd2d6c7cc
581647.6242,6072972.2483,650,5127,Samanų st.,Molėtų g.,iš Riešės,VILNIAUS R. SAVIVALDYBĖ,Vilniaus rajono,yra,nėra, , ,yra,nėra,nėra,nėra,9802fc7c-1b3b-435a-8d4e-641d1ac40f8c
576134.4403,6068437.7847,651,5013,Pagrandos st.,Putiniškių g.,į miestą,SĮSP,Vilniaus miesto,yra,nėra, , ,yra,reikia perkelti,nėra,nėra,a142522f-981d-4ed1-8f9d-7f440a1249e1
581624.9717,6073069.0651,652,5128,Samanų st.,Molėtų g.,į Riešę,VILNIAUS R. SAVIVALDYBĖ,Vilniaus rajono,nėra,nėra, , ,yra,reikia perkelti,nėra,nėra,3db8eabb-c7b5-4d89-9a08-6a921e24c035
576671.3623,6068464.027,653,5009,Laidagaliai,Tarandės g.,į miestą,SĮSP,Vilniaus miesto,reikalingas remontas,nėra,,,yra,reikia perkelti,nėra,nėra,7ae0fc55-eaa0-4745-b3a7-40008ccadbc2
580470.4625,6064675.1907,654,1914,Ukmergės st.,Ukmergės g.,link Šeškinės g.,SĮSP,Vilniaus miesto,yra,yra,JCDecaux,Standartinis,nėra,yra,nėra,nėra,203fb191-460f-4678-9195-d1970c067d23
587124.6875,6060810.0001,655,1433,Žemoji st.,Žemoji g.,į miestą,SĮSP,Vilniaus miesto,reikalingas remontas,nėra, , ,yra,reikia perkelti,nėra,nėra,821a0c78-ef34-46ee-bf1b-4d4a0f75e353
580376.125,6054458.0001,656,2705,Ąžuolijai,Mechanikų g.,į Salininkus,SĮSP,Vilniaus miesto,yra,nėra, , ,yra,yra,nėra,nėra,edcfd07f-ac4e-47e1-ba47-64a63aeaabf5
587527.9123,6064285.4768,657,2396,Anapilio st.,Viršupio g.,Centro link,SĮSP,Vilniaus miesto,yra,yra,SĮSP,Siauro tipo,nėra,reikia perkelti,nėra,nėra,1c1c3138-98b8-441b-9df9-95e65f487d68
586468.4438,6064762.7151,658,2299,Mileišiškės,Mileišiškių g.,į miestą,SĮSP,Vilniaus miesto,yra,yra,SĮSP,Standartinis,nėra,reikia perkelti,nėra,nėra,d9783d94-52b7-482c-8f99-941689801b86
576028.4896,6051993.8543,659,2501,Vaidotai,Krantinės g.,į miestą,VILNIAUS R. SAVIVALDYBĖ,Vilniaus rajono,yra,nėra, , ,yra,reikia perkelti (seno tipo),nėra,nėra,8dc27d93-806c-4593-bc2e-f62fe59e3191
572836.9731,6057304.7464,660,2935,Liudvinava,Lentvario g.,į miestą,SĮSP,Vilniaus miesto,yra,yra,SĮSP,Siauro tipo,nėra,reikia perkelti,nėra,nėra,96b64d6e-2b2f-4c20-ba5b-903d507540f0
577360.3304,6067296.5721,661,4407,Naujosios Gineitiškės,Gineitiškių g.,link Zujūnų,VILNIAUS R. SAVIVALDYBĖ,Vilniaus rajono,yra,yra,Vilniaus r. savivaldybė,"Nestandartinis (fanerInis, kombinuotas, kt)",nėra,yra (seno tipo),nėra,nėra,a565a664-6182-4ed9-8062-3bf3a4d9e596
